x, y, z
503, 523, 712

503, 523, 712

472, 524, 717

472, 524, 717

487, 529, 718

487, 529, 718

501, 528, 713

501, 528, 713

475, 522, 713

475, 522, 713

487, 528, 713

487, 528, 713

489, 523, 712

489, 523, 712

489, 523, 712

487, 528, 716

487, 528, 716

null
485, 523, 717

485, 523, 717

484, 528, 716

484, 528, 716

484, 528, 716

495, 527, 712

495, 527, 712

495, 527, 712

478, 524, 714

478, 524, 714

489, 528, 715

489, 528, 715

488, 525, 712

488, 525, 712

484, 527, 714

484, 527, 714

488, 527, 713

488, 527, 713

484, 523, 715

484, 523, 715

492, 528, 716

492, 528, 716

483, 525, 711

483, 525, 711

485, 527, 716

485, 527, 716

485, 528, 711

485, 528, 711

490, 525, 714

490, 525, 714

480, 527, 715

480, 527, 715

488, 524, 713

488, 524, 713

488, 528, 717

488, 528, 717

485, 523, 711

485, 523, 711

485, 523, 711

483, 525, 715

483, 525, 715

483, 525, 715

491, 527, 717

491, 527, 717

486, 525, 710

486, 525, 710

486, 525, 710

481, 529, 715

481, 529, 715

481, 529, 715

491, 522, 715

491, 522, 715

481, 529, 711

481, 529, 711

489, 522, 717

489, 522, 717

484, 528, 714

484, 528, 714

486, 523, 713

486, 523, 713

486, 525, 714

486, 525, 714

485, 525, 717

485, 525, 717

487, 524, 717

487, 524, 717

486, 526, 712

486, 526, 712

483, 524, 714

483, 524, 714

488, 526, 716

488, 526, 716

488, 525, 713

488, 525, 713

481, 524, 713

481, 524, 713

491, 526, 718

491, 526, 718

487, 525, 712

487, 525, 712

482, 525, 713

482, 525, 713

482, 525, 713

483, 525, 713

483, 525, 713

null
493, 525, 716

493, 525, 716

493, 525, 716

481, 524, 713

481, 524, 713

481, 524, 713

487, 526, 715

487, 526, 715

487, 526, 715

485, 524, 712

485, 524, 712

487, 526, 716

487, 526, 716

487, 526, 716

484, 523, 713

484, 523, 713

487, 526, 716

487, 526, 716

488, 525, 716

488, 525, 716

482, 524, 711

482, 524, 711

485, 524, 714

485, 524, 714

489, 525, 715

489, 525, 715

484, 524, 715

484, 524, 715

486, 526, 713

486, 526, 713

487, 524, 713

487, 524, 713

483, 525, 716

483, 525, 716

489, 525, 713

489, 525, 713

481, 527, 714

481, 527, 714

487, 524, 714

487, 524, 714

485, 527, 708

485, 527, 708

485, 523, 718

485, 523, 718

485, 526, 717

485, 526, 717

485, 526, 717

482, 523, 711

482, 523, 711

482, 523, 711

489, 527, 718

489, 527, 718

489, 527, 718

484, 524, 715

484, 524, 715

484, 524, 715

486, 523, 717

486, 523, 717

