x, y, z
507, 518, 716

507, 518, 716

508, 519, 713

508, 519, 713

508, 519, 713

506, 517, 715

506, 517, 715

508, 518, 715

508, 518, 715

508, 518, 715

508, 518, 715

506, 519, 715

506, 519, 715

507, 517, 715

507, 517, 715

508, 519, 715

508, 519, 715

508, 518, 714

508, 518, 714

506, 518, 715

506, 518, 715

510, 518, 717

510, 518, 717

503, 519, 714

503, 519, 714

509, 517, 715

509, 517, 715

505, 519, 715

505, 519, 715

510, 517, 714

510, 517, 714

506, 520, 716

506, 520, 716

505, 518, 715

505, 518, 715

505, 518, 715

506, 517, 715

506, 517, 715

506, 517, 715

508, 518, 715

508, 518, 715

508, 518, 715

507, 518, 714

507, 518, 714

507, 518, 714

504, 518, 715

504, 518, 715

504, 518, 715

511, 518, 715

511, 518, 715

500, 517, 715

500, 517, 715

511, 520, 715

511, 520, 715

511, 520, 715

509, 518, 715

509, 518, 715

498, 516, 716

498, 516, 716

516, 518, 715

516, 518, 715

500, 518, 712

500, 518, 712

506, 518, 712

506, 518, 712

513, 520, 717

513, 520, 717

505, 515, 715

505, 515, 715

505, 519, 716

505, 519, 716

512, 519, 714

512, 519, 714

504, 517, 714

504, 517, 714

510, 519, 715

510, 519, 715

507, 519, 716

507, 519, 716

507, 518, 715

507, 518, 715

507, 518, 715

506, 517, 715

506, 517, 715

509, 518, 714

509, 518, 714

509, 518, 714

509, 518, 715

509, 518, 715

509, 518, 715

507, 518, 715

507, 518, 715

507, 518, 715

504, 518, 715

504, 518, 715

507, 519, 714

507, 519, 714

507, 519, 714

509, 518, 716

509, 518, 716

509, 517, 714

509, 517, 714

508, 518, 715

508, 518, 715

508, 519, 716

508, 519, 716

507, 519, 713

507, 519, 713

506, 518, 715

506, 518, 715

507, 518, 715

507, 518, 715

510, 519, 715

510, 519, 715

507, 518, 714

507, 518, 714

506, 519, 716

506, 519, 716

509, 518, 715

509, 518, 715

506, 518, 715

506, 518, 715

509, 519, 715

509, 519, 715

509, 519, 715

507, 518, 714

507, 518, 714

508, 518, 715

508, 518, 715

508, 518, 715

508, 519, 715

508, 519, 715

508, 519, 715

506, 519, 714

506, 519, 714

506, 519, 714

507, 518, 716

507, 518, 716

508, 519, 715

508, 519, 715

508, 519, 715

508, 519, 717

508, 519, 717

508, 519, 717

509, 517, 715

509, 517, 715

508, 519, 712

508, 519, 712

506, 518, 715

506, 518, 715

509, 517, 717

509, 517, 717

506, 518, 713

506, 518, 713

506, 519, 715

506, 519, 715

511, 518, 715

511, 518, 715

505, 518, 715

505, 518, 715

511, 518, 715

511, 518, 715

507, 518, 715

507, 518, 715

507, 519, 715

507, 519, 715

509, 518, 714

509, 518, 714

508, 516, 716

508, 516, 716

508, 519, 715

508, 519, 715

508, 518, 715

508, 518, 715

508, 518, 715

507, 519, 714

507, 519, 714

507, 519, 714

508, 518, 715

508, 518, 715

508, 518, 715

508, 517, 716

508, 517, 716

508, 517, 716

508, 519, 716

508, 519, 716

508, 519, 716

507, 518, 715

507, 518, 715

507, 519, 715

507, 519, 715

509, 519, 715

509, 519, 715

506, 517, 716

506, 517, 716

508, 521, 713

508, 521, 713

507, 513, 714

507, 513, 714

510, 521, 717

510, 521, 717

501, 520, 713

501, 520, 713

508, 515, 714

508, 515, 714

514, 518, 715

514, 518, 715

507, 518, 713

507, 518, 713

509, 519, 714

509, 519, 714

503, 519, 716

503, 519, 716

509, 519, 716

509, 519, 716

506, 517, 713

506, 517, 713

511, 517, 716

511, 517, 716

511, 517, 716

509, 518, 714

509, 518, 714

505, 519, 715

505, 519, 715

509, 519, 715

509, 519, 715

509, 519, 715

506, 518, 714

506, 518, 714

506, 518, 714

509, 518, 715

509, 518, 715

509, 518, 714

509, 518, 714

505, 520, 714

505, 520, 714

510, 517, 714

510, 517, 714

505, 519, 716

505, 519, 716

510, 518, 715

510, 518, 715

506, 518, 715

506, 518, 715

508, 519, 716

508, 519, 716

508, 519, 715

508, 519, 715

508, 519, 714

508, 519, 714

507, 518, 715

507, 518, 715

508, 518, 715

508, 518, 715

507, 518, 715

507, 518, 715

505, 519, 714

505, 519, 714

507, 517, 716

507, 517, 716

507, 517, 716

507, 520, 715

507, 520, 715

509, 517, 716

509, 517, 716

507, 520, 713

507, 520, 713

507, 520, 713

514, 515, 714

514, 515, 714

514, 515, 714

499, 519, 715

499, 519, 715

508, 523, 718

508, 523, 718

508, 523, 718

502, 517, 713

502, 517, 713

502, 517, 713

513, 518, 715

513, 518, 715

508, 518, 713

508, 518, 713

511, 517, 715

511, 517, 715

502, 518, 714

502, 518, 714

508, 520, 716

508, 520, 716

508, 518, 715

508, 518, 715

508, 517, 715

508, 517, 715

510, 517, 715

510, 517, 715

505, 518, 714

505, 518, 714

507, 519, 715

507, 519, 715

506, 518, 715

506, 518, 715

509, 517, 714

509, 517, 714

508, 519, 715

508, 519, 715

507, 519, 714

507, 519, 714

509, 516, 715

509, 516, 715

509, 516, 715

507, 520, 717

507, 520, 717

507, 520, 717

508, 519, 712

508, 519, 712

508, 519, 712

504, 516, 715

504, 516, 715

511, 519, 717

511, 519, 717

511, 519, 717

505, 520, 716

505, 520, 716

505, 516, 712

505, 516, 712

513, 518, 715

513, 518, 715

509, 517, 714

509, 517, 714

509, 519, 715

509, 519, 715

504, 518, 713

504, 518, 713

510, 519, 716

510, 519, 716

507, 518, 715

507, 518, 715

508, 521, 717

508, 521, 717

507, 518, 712

507, 518, 712

510, 517, 716

510, 517, 716

512, 517, 714

512, 517, 714

505, 519, 716

505, 519, 716

504, 518, 714

504, 518, 714

513, 521, 716

513, 521, 716

504, 517, 713

504, 517, 713

504, 517, 713

511, 517, 715

511, 517, 715

511, 517, 715

510, 517, 714

510, 517, 714

505, 519, 716

505, 519, 716

505, 519, 716

510, 521, 718

510, 521, 718

510, 521, 718

513, 518, 714

513, 518, 714

507, 519, 717

507, 519, 717

507, 519, 716

507, 519, 716

509, 517, 714

509, 517, 714

511, 518, 715

511, 518, 715

504, 520, 715

504, 520, 715

510, 518, 714

510, 518, 714

509, 519, 715

509, 519, 715

506, 518, 714

506, 518, 714

507, 519, 716

507, 519, 716

505, 520, 712

505, 520, 712

507, 519, 716

507, 519, 716

507, 517, 712

507, 517, 712

511, 519, 714

511, 519, 714

510, 519, 714

510, 519, 714

510, 519, 714

509, 518, 716

509, 518, 716

509, 518, 716

513, 518, 713

513, 518, 713

512, 523, 716

512, 523, 716

512, 523, 716

500, 523, 715

500, 523, 715

500, 523, 715

509, 521, 716

509, 521, 716

512, 524, 715

512, 524, 715

512, 524, 715

504, 522, 717

504, 522, 717

517, 522, 712

517, 522, 712

502, 525, 718

502, 525, 718

512, 523, 710

512, 523, 710

510, 525, 717

510, 525, 717

510, 526, 716

510, 526, 716

512, 525, 716

512, 525, 716

517, 521, 711

517, 521, 711

507, 530, 716

507, 530, 716

505, 524, 712

505, 524, 712

506, 527, 718

506, 527, 718

505, 527, 713

505, 527, 713

501, 526, 714

501, 526, 714

506, 525, 713

506, 525, 713

503, 527, 715

503, 527, 715

502, 527, 715

502, 527, 715

502, 527, 715

501, 527, 714

501, 527, 714

501, 527, 714

506, 527, 715

506, 527, 715

506, 527, 715

501, 527, 715

501, 527, 715

501, 526, 712

501, 526, 712

502, 527, 715

502, 527, 715

501, 526, 715

501, 526, 715

500, 528, 714

500, 528, 714

500, 528, 715

500, 528, 715

500, 527, 714

500, 527, 714

501, 527, 713

501, 527, 713

501, 527, 715

501, 527, 715

498, 529, 715

498, 529, 715

498, 529, 715

498, 529, 715

499, 527, 715

499, 527, 715

499, 528, 714

499, 528, 714

496, 528, 715

496, 528, 715

500, 531, 715

500, 531, 715

498, 527, 714

498, 527, 714

496, 528, 714

496, 528, 714

498, 529, 715

498, 529, 715

498, 529, 715

497, 528, 714

497, 528, 714

497, 528, 714

495, 528, 714

495, 528, 714

499, 530, 715

499, 530, 715

496, 529, 715

496, 529, 715

496, 529, 715

497, 529, 717

497, 529, 717

495, 527, 712

495, 527, 712

498, 530, 717

